id,WORD,WORD.copy,FREQ,cor.id,cor.tok,q,note
1377,אַטען,אַטען,1,,,,
457,אי,אי,4,,אִי,,
1378,אִי,אִי,1,,,,
1379,אַיָא,אַיָא,1,,,,
197,איבּער,איבּער,11,,אִיבֶּער,,
1380,אִיבֶּער,אִיבֶּער,1,,,,
1381,איבּעראל,איבּעראל,1,,אִיבֶּערַאל,,
1382,אִיבֶּערַאל,אִיבֶּערַאל,1,,,,
1383,איבּערגעזינגען,איבּערגעזינגען,1,,,,
1384,איבּערדאשט,איבּערדאשט,1,,,,
1385,איבּערהויפּט,איבּערהויפּט,1,,אֵיבּערהוֹיפּט,,
1386,אֵיבּערהוֹיפּט,אֵיבּערהוֹיפּט,1,,,,
810,איבּערלאזען,איבּערלאזען,2,,,,
811,איבּערלעגט,איבּערלעגט,2,,אִיבֶּערְלֶעגְט,,
1387,איבּערלעגען,איבּערלעגען,1,,אִיבֶּערְלֶעגֶן,,
1388,איבּערלענע,איבּערלענע,1,,אִיבֶּערְלֶעגֶע,,
1389,איבּערלענען,איבּערלענען,1,,אִיבֶּערְלֶעגֶען,,
1390,איבּערנאַנג,איבּערנאַנג,1,,,,
1391,איבּערצוּקוּמען,איבּערצוּקוּמען,1,,,,
1392,איבערציהער,איבערציהער,1,,,,
812,איבּערציינט,איבּערציינט,2,,,,
1393,איבּערציינע,איבּערציינע,1,,,,
1394,איבּערקוּמען,איבּערקוּמען,1,,,,
1395,איבּערקעהרט,איבּערקעהרט,1,,,,
1396,איבּערקעהרען,איבּערקעהרען,1,,,,
1397,איבּערראשט,איבּערראשט,1,,,,
1398,איבּרינענס,איבּרינענס,1,,,,
1399,איה,איה,1,,,,
1400,איה'ש,איה'ש,1,,,,
34,איהם,איהם,72,,אִיהם,,
163,אִיהם,אִיהם,14,,,,
15,איהר,איהר,150,,אִיהר,,
325,אִיהר,אִיהר,6,,,,
813,אֵיהר,אֵיהר,2,,אִיהר,,
181,איהרע,איהרע,12,,אִיהרֶע,,
814,איהרען,איהרען,2,,אִיהרֶען,,
12,איז,איז,176,,אִיז,,
112,אִיז,אִיז,22,,,,
815,איזט,איזט,2,,אִיזט,,
1401,אייבּיג,אייבּיג,1,,,,
1402,אייבּערשטער,אייבּערשטער,1,,,,
1403,אייגאַ,אייגאַ,1,,,,
1404,אַייגען,אַייגען,1,,אַייגֶען,,
1405,אַייגֶען,אַייגֶען,1,,,,
1406,אֵייגֶענֶען,אֵייגֶענֶען,1,,,,
1407,אֵיידֶעם,אֵיידֶעם,1,,,,
579,איידער,איידער,3,,,,
1408,אַייזען,אַייזען,1,,,,
1409,אייזער,אייזער,1,,,,
213,אייך,אייך,10,,אַייך,,
55,אַייך,אַייך,48,,,,
45,איין,איין,57,,אַיין,,
380,אֵיין,אֵיין,5,,,,both
82,אַיין,אַיין,32,,,,both
1410,אַיינבּיינען,אַיינבּיינען,1,,,,
1411,איינגעוויקעלטען,איינגעוויקעלטען,1,,,,
1412,אַיינגערעךט,אַיינגערעךט,1,,,,
1413,אַיינדרוּק,אַיינדרוּק,1,,,,
1414,איינהאַלטען,איינהאַלטען,1,,,,
1415,אַיינווענדען,אַיינווענדען,1,,,,
1416,איינזעהן,איינזעהן,1,,,,
1417,אייניגע,אייניגע,1,,אַיינִינֶע,,
1418,אַיינִינֶע,אַיינִינֶע,1,,,,
1419,איינסיי,איינסיי,1,,,,
260,איינע,איינע,8,,אַיינע,,
198,אַיינע,אַיינע,11,,,,
816,איינעם,איינעם,2,,,,
580,איינען,איינען,3,,,,
1420,אַיינענטהימער,אַיינענטהימער,1,,,,
817,אַיינענע,אַיינענע,2,,,,
1421,איינענער,איינענער,1,,,,
1422,איינער,איינער,1,,אַיינער,,
1423,אַיינער,אַיינער,1,,,,
1424,אַיינְפַאכֶע,אַיינְפַאכֶע,1,,,,
1425,איינציג,איינציג,1,,,,
1426,אַיינציג,אַיינציג,1,,,,
1427,איינצינע,איינצינע,1,,,,
1428,איינצינער,איינצינער,1,,,,
1429,אייער,אייער,1,,אֵייעֶר,,
1430,אֵייעֶר,אֵייעֶר,1,,,,
136,אַייער,אַייער,17,,אֵייעֶר,,both
1431,אַייעֶר,אַייעֶר,1,,,,
458,אַייערע,אַייערע,4,,,,
