"","X","token","tag","lemma","pos","category","funct","case","pers","num","gender","tense","mode"
"8696",8696,"gebe","VFIN.Full.1.Sg.Pres.Ind","geben","VFIN","Full",NA,NA,1,"Sg",NA,"Pres","Ind"
"8698",8698,":","SYM.Pun.Colon",":","SYM","Pun",NA,NA,NA,NA,NA,NA,NA
"8699",8699,"und","CONJ.Coord","und","CONJ","Coord",NA,NA,NA,NA,NA,NA,NA
"8700",8700,"ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",1,"Sg",NA,NA,NA
"8701",8701,"bitte","VFIN.Full.1.Sg.Pres.Ind","bitten","VFIN","Full",NA,NA,1,"Sg",NA,"Pres","Ind"
"8702",8702,"dich","PRO.Pers.Subst.2.Acc.Sg.*","sie","PRO","Pers","Subst","Acc",2,"Sg",NA,NA,NA
"8703",8703,"zu","APPR","zu","APPR",NA,NA,NA,NA,NA,NA,NA,NA
"8704",8704,"ihm","PRO.Pers.Subst.3.Dat.Sg.Masc","sie","PRO","Pers","Subst","Dat",3,"Sg","Masc",NA,NA
"8705",8705,"[","SYM.Paren.Left","[","SYM","Paren","Left",NA,NA,NA,NA,NA,NA
"8707",8707,"16","CARD","16","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"8709",8709,"]","SYM.Paren.Right","]","SYM","Paren","Right",NA,NA,NA,NA,NA,NA
"8710",8710,"zurükzueilen","VINF.Full","zurükzueilen","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"8712",8712,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"8713",8713,"daß","CONJ.SubFin","dass","CONJ","SubFin",NA,NA,NA,NA,NA,NA,NA
"8714",8714,"mein","PRO.Poss.Attr.Nom.Sg.Masc","meine","PRO","Poss","Attr","Nom",NA,"Sg","Masc",NA,NA
"8715",8715,"Sohn","N.Reg.Nom.Sg.Masc","Sohn","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"8716",8716,"nicht","PART.Neg","nicht","PART","Neg",NA,NA,NA,NA,NA,NA,NA
"8717",8717,"bey","ADJD.Pos","bey","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"8718",8718,"mir","PRO.Pers.Subst.1.Dat.Sg.*","sie","PRO","Pers","Subst","Dat",1,"Sg",NA,NA,NA
"8719",8719,"wieder","ADV","wieder","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"8720",8720,"ankomme","VFIN.Full.1.Sg.Pres.Ind","ankommen","VFIN","Full",NA,NA,1,"Sg",NA,"Pres","Ind"
"8722",8722,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"8723",8723,"ehe","CONJ.SubFin","ehe","CONJ","SubFin",NA,NA,NA,NA,NA,NA,NA
"8724",8724,"du","PRO.Pers.Subst.2.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",2,"Sg",NA,NA,NA
"8725",8725,"aus","APPR","aus","APPR",NA,NA,NA,NA,NA,NA,NA,NA
"8726",8726,"meinem","PRO.Poss.Attr.Dat.Sg.Neut","meine","PRO","Poss","Attr","Dat",NA,"Sg","Neut",NA,NA
"8727",8727,"Lager","N.Reg.Dat.Sg.Neut","Lager","N","Reg",NA,"Dat",NA,"Sg","Neut",NA,NA
"8728",8728,"weggegangen","VPP.Full.Psp","weggehen","VPP","Full","Psp",NA,NA,NA,NA,NA,NA
"8729",8729,"bist","VFIN.Aux.2.Sg.Pres.Ind","sein","VFIN","Aux",NA,NA,2,"Sg",NA,"Pres","Ind"
"8731",8731,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"8734",8734,"Polytimet","N.Name.Nom.Sg.Neut","Polytimet","N","Name",NA,"Nom",NA,"Sg","Neut",NA,NA
"8736",8736,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"8739",8739,"Ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",1,"Sg",NA,NA,NA
"8740",8740,"eile","VFIN.Full.1.Sg.Pres.Ind","eilen","VFIN","Full",NA,NA,1,"Sg",NA,"Pres","Ind"
"8742",8742,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"8743",8743,"König","N.Reg.Nom.Sg.Masc","König","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"8745",8745,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"8746",8746,"deine","PRO.Poss.Attr.Acc.Pl.*","deine","PRO","Poss","Attr","Acc",NA,"Pl",NA,NA,NA
"8747",8747,"Befehle","N.Reg.Acc.Pl.Masc","Befehl","N","Reg",NA,"Acc",NA,"Pl","Masc",NA,NA
"8748",8748,"zu","PART.Zu","zu","PART","Zu",NA,NA,NA,NA,NA,NA,NA
"8749",8749,"verrichten","VINF.Full","verrichten","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"8751",8751,";","SYM.Pun.Sent",";","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"8752",8752,"ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",1,"Sg",NA,NA,NA
"8753",8753,"werde","VFIN.Aux.1.Sg.Pres.Ind","werden","VFIN","Aux",NA,NA,1,"Sg",NA,"Pres","Ind"
"8754",8754,"meinem","PRO.Poss.Attr.Dat.Sg.Masc","meine","PRO","Poss","Attr","Dat",NA,"Sg","Masc",NA,NA
"8755",8755,"Vater","N.Reg.Dat.Sg.Masc","Vater","N","Reg",NA,"Dat",NA,"Sg","Masc",NA,NA
"8756",8756,"sagen","VINF.Full","sagen","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"8758",8758,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"8759",8759,"daß","CONJ.SubFin","dass","CONJ","SubFin",NA,NA,NA,NA,NA,NA,NA
"8760",8760,"ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",1,"Sg",NA,NA,NA
"8761",8761,"in","APPR","in","APPR",NA,NA,NA,NA,NA,NA,NA,NA
"8762",8762,"meiner","PRO.Poss.Attr.Dat.Sg.Fem","meine","PRO","Poss","Attr","Dat",NA,"Sg","Fem",NA,NA
"8763",8763,"Gefangenschaft","N.Reg.Dat.Sg.Fem","Gefangenschaft","N","Reg",NA,"Dat",NA,"Sg","Fem",NA,NA
"8764",8764,"den","ART.Def.Acc.Sg.Masc","die","ART","Def",NA,"Acc",NA,"Sg","Masc",NA,NA
"8765",8765,"zweyten","ADJA.Pos.Acc.Sg.Masc","zweyt","ADJA","Pos",NA,"Acc",NA,"Sg","Masc",NA,NA
"8766",8766,"Vater","N.Reg.Acc.Sg.Masc","Vater","N","Reg",NA,"Acc",NA,"Sg","Masc",NA,NA
"8767",8767,"an","APPR","an","APPR",NA,NA,NA,NA,NA,NA,NA,NA
"8768",8768,"dem","ART.Def.Dat.Sg.Masc","die","ART","Def",NA,"Dat",NA,"Sg","Masc",NA,NA
"8769",8769,"König","N.Reg.Dat.Sg.Masc","König","N","Reg",NA,"Dat",NA,"Sg","Masc",NA,NA
"8770",8770,"Polemon","N.Name.Nom.Sg.*","Polemon","N","Name",NA,"Nom",NA,"Sg",NA,NA,NA
"8771",8771,"gefunden","VPP.Full.Psp","finden","VPP","Full","Psp",NA,NA,NA,NA,NA,NA
"8772",8772,"habe","VFIN.Aux.3.Sg.Pres.Subj","haben","VFIN","Aux",NA,NA,3,"Sg",NA,"Pres","Subj"
"8774",8774,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"8777",8777,"Ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",1,"Sg",NA,NA,NA
"8778",8778,"lasse","VFIN.Full.1.Sg.Pres.Ind","lassen","VFIN","Full",NA,NA,1,"Sg",NA,"Pres","Ind"
"8779",8779,"einen","ART.Indef.Acc.Sg.Masc","eine","ART","Indef",NA,"Acc",NA,"Sg","Masc",NA,NA
"8780",8780,"grossen","ADJA.Pos.Acc.Sg.Masc","groß","ADJA","Pos",NA,"Acc",NA,"Sg","Masc",NA,NA
"8781",8781,"Theil","N.Name.Acc.Sg.*","Theil","N","Name",NA,"Acc",NA,"Sg",NA,NA,NA
"8782",8782,"von","APPR","von","APPR",NA,NA,NA,NA,NA,NA,NA,NA
"8783",8783,"meinem","PRO.Poss.Attr.Dat.Sg.Neut","meine","PRO","Poss","Attr","Dat",NA,"Sg","Neut",NA,NA
"8784",8784,"Herzen","N.Reg.Dat.Sg.Neut","Herz","N","Reg",NA,"Dat",NA,"Sg","Neut",NA,NA
"8785",8785,"bey","FM","bey","FM",NA,NA,NA,NA,NA,NA,NA,NA
"8786",8786,"dir","PRO.Pers.Subst.2.Dat.Sg.*","sie","PRO","Pers","Subst","Dat",2,"Sg",NA,NA,NA
"8787",8787,"zurük","FM","zurük","FM",NA,NA,NA,NA,NA,NA,NA,NA
"8789",8789,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"8792",8792,"[","SYM.Paren.Left","[","SYM","Paren","Left",NA,NA,NA,NA,NA,NA
"8794",8794,"17","CARD","17","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"8796",8796,"]","SYM.Paren.Right","]","SYM","Paren","Right",NA,NA,NA,NA,NA,NA
"8797",8797,"Vierter","ADJA.Pos.Nom.Sg.Masc","viert","ADJA","Pos",NA,"Nom",NA,"Sg","Masc",NA,NA
"8798",8798,"Auftritt","N.Reg.Nom.Sg.Masc","Auftritt","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"8800",8800,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"8803",8803,"Aristodem","N.Reg.Nom.Sg.Neut","Aristodem","N","Reg",NA,"Nom",NA,"Sg","Neut",NA,NA
"8805",8805,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"8806",8806,"Polemon","N.Reg.Nom.Sg.Neut","Polemon","N","Reg",NA,"Nom",NA,"Sg","Neut",NA,NA
"8808",8808,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"8811",8811,"Aristodem","N.Name.Nom.Sg.Neut","Aristodem","N","Name",NA,"Nom",NA,"Sg","Neut",NA,NA
"8813",8813,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"8816",8816,"Mein","PRO.Poss.Attr.Nom.Sg.Masc","meine","PRO","Poss","Attr","Nom",NA,"Sg","Masc",NA,NA
"8817",8817,"König","N.Reg.Nom.Sg.Masc","König","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"8819",8819,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"8820",8820,"ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",1,"Sg",NA,NA,NA
"8821",8821,"muß","VFIN.Mod.1.Sg.Pres.Ind","müssen","VFIN","Mod",NA,NA,1,"Sg",NA,"Pres","Ind"
"8822",8822,"dir","PRO.Pers.Subst.2.Dat.Sg.*","sie","PRO","Pers","Subst","Dat",2,"Sg",NA,NA,NA
"8823",8823,"ein","ART.Indef.Acc.Sg.Neut","eine","ART","Indef",NA,"Acc",NA,"Sg","Neut",NA,NA
"8824",8824,"Gerücht","N.Reg.Acc.Sg.Neut","Gerücht","N","Reg",NA,"Acc",NA,"Sg","Neut",NA,NA
"8825",8825,"nicht","PART.Neg","nicht","PART","Neg",NA,NA,NA,NA,NA,NA,NA
"8826",8826,"verschweigen","VINF.Full","verschweigen","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"8828",8828,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"8829",8829,"das","PRO.Rel.Subst.Nom.Sg.Neut","die","PRO","Rel","Subst","Nom",NA,"Sg","Neut",NA,NA
"8830",8830,"durch","APPR","durch","APPR",NA,NA,NA,NA,NA,NA,NA,NA
"8831",8831,"das","ART.Def.Acc.Sg.Neut","die","ART","Def",NA,"Acc",NA,"Sg","Neut",NA,NA
"8832",8832,"Lager","N.Reg.Acc.Sg.Neut","Lager","N","Reg",NA,"Acc",NA,"Sg","Neut",NA,NA
"8833",8833,"gehet","VFIN.Full.2.Pl.Pres.Subj","gehen","VFIN","Full",NA,NA,2,"Pl",NA,"Pres","Subj"
"8835",8835,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"8836",8836,"wiewol","ADJD.Pos","wiewol","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"8837",8837,"es","PRO.Pers.Subst.3.Nom.Sg.Neut","sie","PRO","Pers","Subst","Nom",3,"Sg","Neut",NA,NA
"8838",8838,"auf","APPR","auf","APPR",NA,NA,NA,NA,NA,NA,NA,NA
"8839",8839,"lauter","PRO.Indef.Attr.*.*.*","lauter","PRO","Indef","Attr",NA,NA,NA,NA,NA,NA
"8840",8840,"Ungewißheit","N.Reg.Acc.Sg.Fem","Ungewissheit","N","Reg",NA,"Acc",NA,"Sg","Fem",NA,NA
"8841",8841,"beruhet","VFIN.Full.2.Pl.Pres.Subj","beruhen","VFIN","Full",NA,NA,2,"Pl",NA,"Pres","Subj"
"8843",8843,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"8846",8846,"Und","CONJ.Coord","und","CONJ","Coord",NA,NA,NA,NA,NA,NA,NA
"8847",8847,"das","PRO.Dem.Subst.Nom.Sg.Neut","die","PRO","Dem","Subst","Nom",NA,"Sg","Neut",NA,NA
"8848",8848,"ist","VFIN.Aux.3.Sg.Pres.Ind","sein","VFIN","Aux",NA,NA,3,"Sg",NA,"Pres","Ind"
"8849",8849,"mein","PRO.Poss.Attr.Nom.Sg.Masc","meine","PRO","Poss","Attr","Nom",NA,"Sg","Masc",NA,NA
"8850",8850,"Trost","N.Reg.Nom.Sg.Masc","Trost","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"8852",8852,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"8853",8853,"daß","CONJ.SubFin","dass","CONJ","SubFin",NA,NA,NA,NA,NA,NA,NA
"8854",8854,"es","PRO.Pers.Subst.3.Nom.Sg.Neut","sie","PRO","Pers","Subst","Nom",3,"Sg","Neut",NA,NA
"8855",8855,"darauf","PROADV.Dem","darauf","PROADV","Dem",NA,NA,NA,NA,NA,NA,NA
"8856",8856,"beruhet","VFIN.Full.2.Pl.Pres.Subj","beruhen","VFIN","Full",NA,NA,2,"Pl",NA,"Pres","Subj"
"8858",8858,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"8859",8859,"denn","CONJ.Coord","denn","CONJ","Coord",NA,NA,NA,NA,NA,NA,NA
"8860",8860,"es","PRO.Pers.Subst.3.Nom.Sg.Neut","sie","PRO","Pers","Subst","Nom",3,"Sg","Neut",NA,NA
"8861",8861,"meldet","VFIN.Full.3.Sg.Pres.Ind","melden","VFIN","Full",NA,NA,3,"Sg",NA,"Pres","Ind"
"8862",8862,"etwas","PRO.Indef.Subst.*.*.Neut","etwas","PRO","Indef","Subst",NA,NA,NA,"Neut",NA,NA
"8863",8863,"sehr","ADV","sehr","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"8864",8864,"betrübtes","ADJA.Pos.Acc.Sg.Neut","betrübt","ADJA","Pos",NA,"Acc",NA,"Sg","Neut",NA,NA
"8866",8866,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"8869",8869,"Die","ART.Def.Nom.Pl.Masc","die","ART","Def",NA,"Nom",NA,"Pl","Masc",NA,NA
"8870",8870,"Götter","N.Reg.Nom.Pl.Masc","Gott","N","Reg",NA,"Nom",NA,"Pl","Masc",NA,NA
"8871",8871,"wenden","VFIN.Full.3.Pl.Pres.Ind","wenden","VFIN","Full",NA,NA,3,"Pl",NA,"Pres","Ind"
"8872",8872,"alles","PRO.Indef.Attr.Acc.Sg.Neut","alle","PRO","Indef","Attr","Acc",NA,"Sg","Neut",NA,NA
"8873",8873,"Unglük","N.Reg.Acc.Sg.Neut","Unglük","N","Reg",NA,"Acc",NA,"Sg","Neut",NA,NA
"8874",8874,"von","APPR","von","APPR",NA,NA,NA,NA,NA,NA,NA,NA
"8875",8875,"deiner","PRO.Poss.Attr.Dat.Sg.Fem","deine","PRO","Poss","Attr","Dat",NA,"Sg","Fem",NA,NA
"8876",8876,"königlichen","ADJA.Pos.Dat.Sg.Fem","königlich","ADJA","Pos",NA,"Dat",NA,"Sg","Fem",NA,NA
"8877",8877,"Person","N.Reg.Dat.Sg.Fem","Person","N","Reg",NA,"Dat",NA,"Sg","Fem",NA,NA
"8878",8878,"und","CONJ.Coord","und","CONJ","Coord",NA,NA,NA,NA,NA,NA,NA
"8879",8879,"deinem","PRO.Poss.Attr.Dat.Sg.Neut","deine","PRO","Poss","Attr","Dat",NA,"Sg","Neut",NA,NA
"8880",8880,"Hause","N.Reg.Dat.Sg.Neut","Haus","N","Reg",NA,"Dat",NA,"Sg","Neut",NA,NA
"8881",8881,"ab","PART.Verb","ab","PART","Verb",NA,NA,NA,NA,NA,NA,NA
"8883",8883,"!","SYM.Pun.Sent","!","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"8886",8886,"[","SYM.Paren.Left","[","SYM","Paren","Left",NA,NA,NA,NA,NA,NA
"8888",8888,"18","CARD","18","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"8890",8890,"]","SYM.Paren.Right","]","SYM","Paren","Right",NA,NA,NA,NA,NA,NA
"8891",8891,"Polemon","N.Reg.Acc.Sg.Neut","Polemon","N","Reg",NA,"Acc",NA,"Sg","Neut",NA,NA
"8893",8893,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"8896",8896,"Ist","VFIN.Aux.3.Sg.Pres.Ind","sein","VFIN","Aux",NA,NA,3,"Sg",NA,"Pres","Ind"
"8897",8897,"meinem","PRO.Poss.Attr.Dat.Sg.Masc","meine","PRO","Poss","Attr","Dat",NA,"Sg","Masc",NA,NA
"8898",8898,"Sohn","N.Reg.Dat.Sg.Masc","Sohn","N","Reg",NA,"Dat",NA,"Sg","Masc",NA,NA
"8899",8899,"etwas","PRO.Indef.Attr.*.*.*","etwas","PRO","Indef","Attr",NA,NA,NA,NA,NA,NA
"8900",8900,"menschliches","ADJA.Pos.Acc.Sg.Neut","menschlich","ADJA","Pos",NA,"Acc",NA,"Sg","Neut",NA,NA
"8901",8901,"begegnet","VFIN.Full.3.Sg.Pres.Ind","begegnen","VFIN","Full",NA,NA,3,"Sg",NA,"Pres","Ind"
"8903",8903,"?","SYM.Pun.Sent","?","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"8906",8906,"O","N.Name.Nom.Sg.*","O","N","Name",NA,"Nom",NA,"Sg",NA,NA,NA
"8908",8908,"!","SYM.Pun.Sent","!","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"8909",8909,"seine","PRO.Poss.Attr.Nom.Sg.Fem","seine","PRO","Poss","Attr","Nom",NA,"Sg","Fem",NA,NA
"8910",8910,"Gefangennehmung","N.Reg.Nom.Sg.Fem","Gefangennehmung","N","Reg",NA,"Nom",NA,"Sg","Fem",NA,NA
"8911",8911,"war","VFIN.Aux.3.Sg.Past.Ind","sein","VFIN","Aux",NA,NA,3,"Sg",NA,"Past","Ind"
"8912",8912,"schon","ADV","schon","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"8913",8913,"sehr","ADV","sehr","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"8914",8914,"menschlich","ADJD.Pos","menschlich","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"8916",8916,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"8919",8919,"Er","PRO.Pers.Subst.3.Nom.Sg.Masc","sie","PRO","Pers","Subst","Nom",3,"Sg","Masc",NA,NA
"8920",8920,"rann","VFIN.Full.3.Sg.Past.Ind","rinnen","VFIN","Full",NA,NA,3,"Sg",NA,"Past","Ind"
"8921",8921,"mit","APPR","mit","APPR",NA,NA,NA,NA,NA,NA,NA,NA
"8922",8922,"solcher","PRO.Indef.Attr.Dat.Sg.Fem","solche","PRO","Indef","Attr","Dat",NA,"Sg","Fem",NA,NA
"8923",8923,"Unbedachtsamkeit","N.Reg.Dat.Sg.Fem","Unbedachtsamkeit","N","Reg",NA,"Dat",NA,"Sg","Fem",NA,NA
"8924",8924,"in","APPR","in","APPR",NA,NA,NA,NA,NA,NA,NA,NA
"8925",8925,"die","ART.Def.Acc.Pl.Masc","die","ART","Def",NA,"Acc",NA,"Pl","Masc",NA,NA
"8926",8926,"Feinde","N.Reg.Acc.Pl.Masc","Feind","N","Reg",NA,"Acc",NA,"Pl","Masc",NA,NA
"8928",8928,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"8929",8929,"als","CONJ.Comp","als","CONJ","Comp",NA,NA,NA,NA,NA,NA,NA
"8930",8930,"wenn","CONJ.SubFin","wenn","CONJ","SubFin",NA,NA,NA,NA,NA,NA,NA
"8931",8931,"ihm","PRO.Pers.Subst.3.Dat.Sg.Masc","sie","PRO","Pers","Subst","Dat",3,"Sg","Masc",NA,NA
"8932",8932,"unbekannt","ADJD.Pos","unbekannt","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"8933",8933,"wäre","VFIN.Aux.3.Sg.Past.Subj","sein","VFIN","Aux",NA,NA,3,"Sg",NA,"Past","Subj"
"8935",8935,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"8936",8936,"daß","CONJ.SubFin","dass","CONJ","SubFin",NA,NA,NA,NA,NA,NA,NA
"8937",8937,"er","PRO.Pers.Subst.3.Nom.Sg.Masc","sie","PRO","Pers","Subst","Nom",3,"Sg","Masc",NA,NA
"8938",8938,"einen","ART.Indef.Acc.Sg.Masc","eine","ART","Indef",NA,"Acc",NA,"Sg","Masc",NA,NA
"8939",8939,"verlezlichen","ADJA.Pos.Acc.Sg.Masc","verlezlich","ADJA","Pos",NA,"Acc",NA,"Sg","Masc",NA,NA
"8940",8940,"Leib","N.Reg.Acc.Sg.Masc","Leib","N","Reg",NA,"Acc",NA,"Sg","Masc",NA,NA
"8941",8941,"hat","VFIN.Aux.3.Sg.Pres.Ind","haben","VFIN","Aux",NA,NA,3,"Sg",NA,"Pres","Ind"
"8943",8943,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"8946",8946,"Und","CONJ.Coord","und","CONJ","Coord",NA,NA,NA,NA,NA,NA,NA
"8947",8947,"dieses","PRO.Dem.Subst.Acc.Sg.Neut","diese","PRO","Dem","Subst","Acc",NA,"Sg","Neut",NA,NA
"8948",8948,"hielt","VFIN.Full.3.Sg.Past.Ind","halten","VFIN","Full",NA,NA,3,"Sg",NA,"Past","Ind"
"8949",8949,"er","PRO.Pers.Subst.3.Nom.Sg.Masc","sie","PRO","Pers","Subst","Nom",3,"Sg","Masc",NA,NA
"8950",8950,"für","APPR","für","APPR",NA,NA,NA,NA,NA,NA,NA,NA
"8951",8951,"Dapferkeit","N.Reg.Acc.Sg.Fem","Dapferkeit","N","Reg",NA,"Acc",NA,"Sg","Fem",NA,NA
"8953",8953,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"8956",8956,"Aber","CONJ.Coord","aber","CONJ","Coord",NA,NA,NA,NA,NA,NA,NA
"8957",8957,"sage","VFIN.Full.1.Sg.Pres.Ind","sagen","VFIN","Full",NA,NA,1,"Sg",NA,"Pres","Ind"
"8958",8958,"deine","PRO.Poss.Attr.Nom.Sg.Fem","deine","PRO","Poss","Attr","Nom",NA,"Sg","Fem",NA,NA
"8959",8959,"Zeitung","N.Reg.Nom.Sg.Fem","Zeitung","N","Reg",NA,"Nom",NA,"Sg","Fem",NA,NA
"8961",8961,";","SYM.Pun.Sent",";","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"8962",8962,"ich","PRO.Pers.Subst.1.Nom.Sg.*","sie","PRO","Pers","Subst","Nom",1,"Sg",NA,NA,NA
"8963",8963,"habe","VFIN.Aux.1.Sg.Pres.Ind","haben","VFIN","Aux",NA,NA,1,"Sg",NA,"Pres","Ind"
"8964",8964,"mich","PRO.Refl.Subst.1.Acc.Sg.*","sie","PRO","Refl","Subst","Acc",1,"Sg",NA,NA,NA
"8965",8965,"längst","ADV","längst","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"8966",8966,"gegen","APPR","gegen","APPR",NA,NA,NA,NA,NA,NA,NA,NA
"8967",8967,"alle","PRO.Indef.Attr.Acc.Pl.Masc","alle","PRO","Indef","Attr","Acc",NA,"Pl","Masc",NA,NA
"8968",8968,"Zufälle","N.Reg.Acc.Pl.Masc","Zufall","N","Reg",NA,"Acc",NA,"Pl","Masc",NA,NA
"8969",8969,"des","ART.Def.Gen.Sg.Neut","die","ART","Gen",NA,"Gen",NA,"Sg","Neut",NA,NA
"8970",8970,"Schiksals","N.Reg.Gen.Sg.Neut","Schiksals","N","Gen",NA,"Gen",NA,"Sg","Neut",NA,NA
"8971",8971,"gerüstet","VPP.Full.Psp","rüsten","VPP","Full","Psp",NA,NA,NA,NA,NA,NA
"8973",8973,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"8976",8976,"Aristodem","N.Name.Nom.Sg.Neut","Aristodem","N","Name",NA,"Nom",NA,"Sg","Neut",NA,NA
"8978",8978,".","SYM.Pun.Sent",".","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"8981",8981,"Man","PRO.Indef.Subst.Nom.Sg.*","man","PRO","Indef","Subst","Nom",NA,"Sg",NA,NA,NA
"8982",8982,"sagt","VFIN.Full.3.Sg.Pres.Ind","sagen","VFIN","Full",NA,NA,3,"Sg",NA,"Pres","Ind"
"8984",8984,",","SYM.Pun.Comma",",","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"8985",8985,"daß","CONJ.SubFin","dass","CONJ","SubFin",NA,NA,NA,NA,NA,NA,NA
"8986",8986,"er","PRO.Pers.Subst.3.Nom.Sg.Masc","sie","PRO","Pers","Subst","Nom",3,"Sg","Masc",NA,NA
"8987",8987,"eine","ART.Indef.Acc.Sg.Fem","eine","ART","Indef",NA,"Acc",NA,"Sg","Fem",NA,NA
"8988",8988,"geringe","ADJA.Pos.Acc.Sg.Fem","gering","ADJA","Pos",NA,"Acc",NA,"Sg","Fem",NA,NA
"8989",8989,"Wunde","N.Reg.Acc.Sg.Fem","Wunde","N","Reg",NA,"Acc",NA,"Sg","Fem",NA,NA
"8990",8990,"empfangen","VPP.Full.Psp","empfangen","VPP","Full","Psp",NA,NA,NA,NA,NA,NA
"8991",8991,"habe","VFIN.Aux.3.Sg.Pres.Subj","haben","VFIN","Aux",NA,NA,3,"Sg",NA,"Pres","Subj"
"8993",8993,";","SYM.Pun.Sent",";","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"8994",8994,"aber","CONJ.Coord","aber","CONJ","Coord",NA,NA,NA,NA,NA,NA,NA
"8995",8995,"untröstlich","ADJD.Pos","untröstlich","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"8996",8996,"gewesen","VPP.Aux.Psp","sein","VPP","Aux","Psp",NA,NA,NA,NA,NA,NA
