"","token","tag","pos","category","funct","case","pers","num","gender","tense","mode"
"3636",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"3637","ihn","PRO.Pers.Subst.3.Acc.Sg.Masc","PRO","Pers","Subst","Acc","3","Sg","Masc",NA,NA
"3638","seinen","PRO.Poss.Attr.-.Dat.Pl.Masc","PRO","Poss","Attr","Dat",NA,"Pl","Masc",NA,NA
"3639","Befehlbabern","N.Reg.Dat.Pl.Masc","N","Reg",NA,"Dat",NA,"Pl","Masc",NA,NA
"3640","zu","PART.Zu","PART","Zu",NA,NA,NA,NA,NA,NA,NA
"3641","zeigen","VINF.Full.-","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"3642",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"3643","und","CONJ.Coord.-","CONJ","Coord",NA,NA,NA,NA,NA,NA,NA
"3644","ihm","PRO.Pers.Subst.3.Dat.Sg.Masc","PRO","Pers","Subst","Dat","3","Sg","Masc",NA,NA
"3645","einiche","ADJA.Pos.Acc.Pl.Masc","ADJA","Pos",NA,"Acc",NA,"Pl","Masc",NA,NA
"3646","grosse","ADJA.Pos.Acc.Pl.Masc","ADJA","Pos",NA,"Acc",NA,"Pl","Masc",NA,NA
"3647","Vorschläge","N.Reg.Acc.Pl.Masc","N","Reg",NA,"Acc",NA,"Pl","Masc",NA,NA
"3648","zu","PART.Zu","PART","Zu",NA,NA,NA,NA,NA,NA,NA
"3649","thun","VINF.Full.-","VINF","Full",NA,NA,NA,NA,NA,NA,NA
"3650",".","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
